title,location,summary,salary
Data Science Faculty - Freelance (Remote),Remote,"Through its industry-focused programs, INSAID aims to arm working professionals not only with skill sets like machine learning, data science but provide them a…",NA
ReactJS Developer,Remote,"Relevant Experience - Relevant is the experience in months for position & skill which you are applying for.
We are looking for mid to senior level awesome React…","₹15,000 - ₹35,000 a month"
Quality Analyst,"Hyderabad, Telangana","Prodapt provides insights and thought leadership-led transformation services leveraging next-gen technologies such as RPA (robotic process automation), AI/ML …",NA
newML Engineer,"Bengaluru, Karnataka","4+yrs of experience in a similar profile with strong service delivery background.
Lead and guide a team of Junior Developers.
Skills in Java/C are a plus.",NA
newAnalyst - Risk Management II,"Gurgaon, Haryana",The purpose of the role is to provide data driven insights that inform Merchant marketing strategy through targeting and measurement for global market(s).,NA
Manager-Insights and Intelligence,"Bengaluru, Karnataka+1 location","Years of Experience: 13-18 years.
You will be required to utilize the existing frameworks, standards, patterns to create architectural foundation and services…",NA
newPython Automation,"Calicut, Kerala","Should have 5-10 years experience.
Should have very good experience with Automation using Python + Selenium + Panda (module) + Pytest.",NA
Quality and DevOps specialist,"Bengaluru, Karnataka","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",NA
MACHINE LEARNING SCIENTIST (HEALTHCARE),"New Delhi, Delhi",The role will be to bring precision delivery to healthcare through cutting-edge machine learning and artificial intelligence.,NA
newSpecialist QA Engineer,"Pune, Maharashtra","Division: Public Safety Line of Business.
NICE India GTC is a strategic R&D and Operations center of NICE, employing 1600 out of a global employee base of 7000.",NA
newEngineering Manager,"Bengaluru, Karnataka","To think along with clients and sell.
You will work with multiple teams in IBM MaaS360 to ensure business objectives are successfully achieved, on time.",NA
Certified Java Developer (Freshers),"Bengaluru, Karnataka","This is ideal for *freshers* that are *Certified in Core Java or Java Springboot* technologies.
Undergo training on Workfusion RPA Technology and get certified.","₹1,50,000 a year"
newML Data Associate I,"Chennai, Tamil Nadu","Good familiarity with the Windows desktop environment and use of Word, Excel, IE, Firefox etc. are required.
Perform execution and report results accurately.",NA
newNodejs Developer,"Gurgaon, Haryana","You are a Node JS Developer, who will Design, develop and/or re-engineer complex application components, and integrate software packages, programs and reusable…",NA
newQRadar SIEM Engineer,"Pune, Maharashtra","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",NA
