title,location,summary,salary
Data Analyst/Tableau Developer,"Gurgaon, Haryana","Relevant experiences in data science, data analytics, data warehousing and data visualization.
Provide on-going support for the data warehousing systems (ETL,…",NA
newTechnical Support Engineer,"Remote in Gurgaon, Haryana",This position is responsible for providing stellar customer service and support for Corning’s in-building wireless voice and data systems.,NA
"Data Science Associate Consultant (New Delhi, India)","Gurgaon, Haryana","Execute statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large data sets to identify trends,…",NA
Neo Media World | Data Analyst Intern,"Gurgaon, Haryana",Responsible for data & analytics projects and developing data strategies by diving into data and extrapolating insights and providing guidance to clients.,NA
Data Scientist,"Gurgaon, Haryana","Leverage customer data to build churn models , propensity models etc.
Analytics and data science are core to Lenskart’s business across several aspects: retail …",NA
Data Scientist,"Gurgaon, Haryana","Leverage customer data to build churn models , propensity models etc.
Analytics and data science are core to Lenskart’s business across several aspects: retail …",NA
Data Scientist,"Bengaluru, Karnataka","You will be working closely with the Marketing, Product, Risk, Finance and Business Development teams to apply statistical modeling and machine learning…",NA
"Intern, Data Science (Autodesk Construction Cloud)","Bengaluru, Karnataka","Experience completing multiple data science projects end-to-end; from idea generation, goals formulation, to implementation and deliverables.",NA
Data Science Manager,"Gurgaon, Haryana","Experience combining user research and data science methodologies across multiple products and teams.
Our ultimate goal is to enable and increase the use of…",NA
Data Scientist,"Agra, Uttar Pradesh","Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",NA
newData Research Analyst,"Mumbai, Maharashtra","Ability to read volumes of data and pick out relevant information.
Quickly extract and enter relevant corporate information and revenue data in a research tool.",NA
Data Science,"Bengaluru, Karnataka","The data scientist will be responsible for developing and maintaining ML models, using alternative data, for various stages of the credit lifecycle: approval,…",NA
newData Analyst,Remote,"Compile and analyze data related to business issues.
You think about data in terms of statistical distributions and have a big enough analytics toolbox to know…",NA
newSoftware Engineer,"Navi Mumbai, Maharashtra","University degree in computer science or statistics or a related field.
Jr. Machine learning engineer (For Freshers)*.
Hands-on coding experience in Python.","₹18,000 - ₹35,000 a month"
newManager Data Scientist,"Noida, Uttar Pradesh","Experience on working in data lake environment.
The candidate should demonstrate strong technical/problem solving skills, manage multiple projects…",NA
Data Science Engineer,"Hyderabad, Telangana","Gainsight is building a world-class team of Engineers with a mandate to architect, design, build, scale, and maintain our cutting-edge customer intelligence…",NA
Data Scientist,"Mumbai, Maharashtra","Apply scientific knowledge on data modeling, data analytics, predictive algorithms, and other data science principles to create concepts, develop prototypes,…",NA
Data Engineer,"Remote in Ahmedabad, Gujarat","Build a scalable data pipeline for processing batch and real-time data.
Create and maintain an optimal data pipeline.
Strong coding skill in Python.",NA
Research Analyst ( Pharmaceutical),"New Delhi, Delhi","Synthesize data out of multiple data sources to perform analysis about industry/companies.
Internet Research/ Desk Research/ Secondary research.",NA
Data Scientist,"Gurgaon, Haryana","2+ Years experience in data science, statistical analysis and modelling data using leading analytics and big data tools.
(e.g. R, Python, Hadoop, Spark, etc..).",NA
newData scientist,"Bengaluru, Karnataka","Exp :0-1 years of relevant work experience in data science.
Analyze massive behavioral data and third party data and help implement anti-fraud, user profiling…",NA
Data Science Engineer,"Hyderabad, Telangana","Strong computer science fundamentals such as algorithms, data structures, multithreading.
Expand and optimize data pipelines, data flow, and collection for…",NA
"newIntern, Product Revenue Analytics & Data Science (P)","Gurgaon, Haryana","Create analyses that tell a “story” focused on insights, not just data analytics.
Drive business outcomes by developing recommendations based on data (pricing,…",NA
Data Science - Manager,"Gurgaon, Haryana",Provide requirement for data pipeline development to the data engineering team for data ingestion to systems for creating data warehouses and Data Lakes.,NA
newSenior Data Engineer,"Hybrid remote in Gurgaon, Haryana","+ Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
+ Experience with big data tools.",NA
Data Scientist,India,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",NA
Data Analytics Consultant,"Noida, Uttar Pradesh","Provide support to all data analytics initiatives and data projects.
Leverages SQL skill and ETL skill to extract data from various data systems.",NA
"Manager, Insights Data Science","Gurgaon, Haryana+2 locations","The Advanced Analytics Group is a team of experts in primary market research, marketing science, data science, engineering and operations research.",NA
Data Science - Consultant,"Remote in Bengaluru, Karnataka","Big data hadoop: 1 year (Required).
Immediate to 20 days joining duration*.
Experience: * 4-7 years of experience in a computer vision role.","₹12,00,000 - ₹20,00,000 a year"
newData Manager,Remote,"Generate sample data from live study data.
Process at least one routine data run per assigned study per quarter and perform all sample, complete and final data…",NA
newSenior Mentoring Professional- Data Science,"Remote in Chennai, Tamil Nadu","Training Candidates in data science, AI & ML.
As a senior mentoring professional, the candidate should be ready to lead a Data Science team, whose activities…","₹4,00,000 - ₹7,00,000 a year"
Database Administrator,"Noida, Uttar Pradesh","*Protecting data by developing data security and restoration policies, procedures, and controls.*.
In-depth knowledge of database technologies, architecture,…","₹25,000 a month"
Data Engineer,"Noida, Uttar Pradesh","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Create, maintain and advise on optimal data pipeline architecture…",NA
newSoftware Engineer,"New Delhi, Delhi+1 location","The solutions leverage Morningstar’s extensive data and research capabilities across all stages of financial advice making the advice process compliant,…",NA
Data Manager,"Delhi, Delhi","Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.
Create and enforce policies for effective data management.","₹7,80,000 - ₹12,20,000 a year"
newCP Master Data Analyst,India,"Expertise in Master data management especially Material Master and/ or data analytics.
Drive the definition of master data quality metrics and error correction…",NA
Actuarial Data Analyst,"Gurgaon, Haryana","You will work closely with other data scientists, data engineers, software engineers, and domain experts to continuously improve our data collection, data…",NA
Data Analyst,"Remote in Chennai, Tamil Nadu",Collaborate and work closely with data quality teams to ensure adherence to data ingestion and data governance standards.,NA
Community Engagement Lead (Data & Platforms),Remote,"Build better understanding of tech and policy ecosystem in India by analysing recent developments related to digital rights like data governance, data…","₹8,00,000 - ₹11,00,000 a year"
Java Developer,Remote,"Java Back-end developer in the Accelerate Program will use agile methodology to design, develop and deploy enterprise applications/platforms with modern…","₹4,00,000 - ₹8,00,000 a year"
Data Scientist,"Gurgaon, Haryana","You must be a storyteller and passionate about Machine Learning, Deep Learning, Computer Vision, NLP and big data technologies.
Liaise with members of the team.",NA
Statistical Analyst,"Lucknow, Uttar Pradesh","Nvivo for qualitative data analysis.
IBM SPSS data analysis: 2 years (Preferred).
Data analysis using Nvivo: 2 years (Preferred).
Part-time hours: 10 per week.",₹400 - ₹500 an hour
Data Scientist - QuantumBlack,"Bengaluru, Karnataka","Develop data science products and solutions for clients as well as for our data science team.
As a data scientist at QuantumBlack, you will work with other data…",NA
newMachine Learning Engineer,"Hyderabad, Telangana+1 location","Apple's IS&T team looking for a machine learning expert to help us extract the value from our data.
Responsibilities include data collection, cleaning,…",NA
newAssistant Manager - Data Science,"Bengaluru, Karnataka","Wider Unilever analytics and data science professionals.
Contribute refinements to the plan through your own data science knowledge.",NA
Data Analyst,India,"Requirements:Collaborate with business, strategy, marketing, data warehousing and tech team to understand/review the data requirements and structure of the data…",NA
Data Scientist,"Gurgaon, Haryana","As part of Algo-Augmented CM project, we are building a series of MVPs to augment the sourcing managers with analytics and data science apps.",NA
Senior Data scientist,"Chennai, Tamil Nadu",Identify and propose data driven insights from automotive data which can help business to add value to ZF’s customers for existing products.,NA
newData Analyst,"Madurai, Tamil Nadu","Design strategic data science projects and break complex problems into smaller actionable tasks.
Bachelor degree with 3+ years of relevant experience or master…",NA
Data Scientist,"Gurgaon, Haryana","Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.",NA
QA Automation Engineer (Work From Office - Gurgaon),"Gurgaon, Haryana","Ensure testability in product features and measure code coverage data regularly.
Develop excellent understanding of the products and contribute to future…","₹4,00,000 - ₹8,00,000 a year"
Data Scientist,"Noida, Uttar Pradesh","Travel and engage clients directly to translate their business needs into implementable science.
Knowledge of data visualization tools like Tableau/Power Bi etc…",NA
Maven Wave Rebound - Data Engineering,"Gurgaon, Haryana","Women candidates with graduation in computers - B.
Tech, B.E., MCA, BCA or B.
During the program, participants will be given the perfect balance of structured…",NA
"Associate, QA","Gurgaon, Haryana","Analyze data to identify areas for improvement in the quality system.
PURPOSE To be the gatepost for quality in the customer deployment function; owning…",NA
newProject Data Manager,+1 locationRemote,"Trains and mentors data management staff.
BA/BS in the biological sciences or related disciplines in the natural science/health care field or Registered Nurse.",NA
Data Manager,"Delhi, Delhi","Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.
Create and enforce policies for effective data management.","₹7,80,000 - ₹12,20,000 a year"
newData Science Product Manager,"Bengaluru, Karnataka","Bachelor’s degree with 8 to 12 years of relevant experience working in a data analytics environment, either in delivering, managing or overseeing.",NA
newSenior Data Analyst,"Delhi, Delhi","Bachelor’s degree with a focus in mathematics, data science, or a related field.
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab,…",NA
newData Analyst - CRM 1,"Noida, Uttar Pradesh","Understanding of data concepts and data manipulation.
In addition, there will be a need to assist the data lead in migrating data from other systems into Global…",NA
Data Platform Engineer,"Delhi, Delhi+3 locations","Loading data into data platforms.
Working closely with universal analysts, platform engineers and data scientists, you’ll carry out data engineering tasks to…",NA
newClinical Data Lab Specialist (Local Lab data Analysis),Remote,Experience with local laboratory data collection methods and management of local laboratory range data in clinical trials.,NA
Data Scientist,"Gurgaon, Haryana","Insight out of raw data.
 Ensure data quality and integrity.
 Interpret and analyse data problems.
 Visualize data and create reports.
 Solid hands-on AWS.",NA
newData Scientist SwiftRe,"Bengaluru, Karnataka","Integrate and store data initial data investigation and exploratory data analysis.
Drive the data discovery process asking the right questions data acquisition…",NA
Assistant Manager-Data Engineer Wrangler,"Hyderabad, Telangana",Partner closely with the data architect and data scientists to develop data models that will support advanced analytics projects for key stakeholders.,NA
Data Architect,"Delhi, Delhi","Knowledge of data mining and segmentation techniques.
Migrate data from legacy systems to new solutions.
Familiarity with data visualization tools (e.g. Tableau…","₹8,80,000 - ₹12,20,000 a year"
Data Scientist,"Gurgaon, Haryana","Insight out of raw data.
 Ensure data quality and integrity.
 Interpret and analyse data problems.
 Visualize data and create reports.
 Solid hands-on AWS.",NA
newData Scientist SwiftRe,"Bengaluru, Karnataka","Integrate and store data initial data investigation and exploratory data analysis.
Drive the data discovery process asking the right questions data acquisition…",NA
Assistant Manager-Data Engineer Wrangler,"Hyderabad, Telangana",Partner closely with the data architect and data scientists to develop data models that will support advanced analytics projects for key stakeholders.,NA
Data Architect,"Delhi, Delhi","Knowledge of data mining and segmentation techniques.
Migrate data from legacy systems to new solutions.
Familiarity with data visualization tools (e.g. Tableau…","₹8,80,000 - ₹12,20,000 a year"
Data Visualization Analyst,"Gurgaon, Haryana+2 locations","Delivering the data in a useful and appealing way to users.
Transforming, improving and integrating data, depending on the business requirements.",NA
newSQL Developer,"Gurgaon, Haryana","Investigate/Analyses exceptions with regard to data analysis.
Develop scripts and queries for data extraction and manipulation.","₹15,00,000 a year"
Python / Pandas,"Keelkattalai, Chennai, Tamil Nadu","Should be strong in Python programming.
Should be strong with knowledge in Data structures and Algorithm.","₹15,000 - ₹40,000 a month"
"Sr. Manager, Data Science & ML Platform",Remote,"5+ years data science experience in developing and deploying Machine Learning models.
Build end-to-end reusable pipelines from data acquisition to model output…",NA
Assistant Manager,"Noida, Uttar Pradesh+2 locations","Having prior experience working with data science teams in solution development.
Documenting contents in a data warehouse and meta-data storage; and.",NA
SQL Database Administrator,"Gurgaon, Haryana","Perform tests and evaluations regularly to ensure data security, privacy and integrity.
Define users and enable data distribution to the right user, in…","₹40,000 - ₹50,000 a month"
newCB_Risk_Credit Analysis Unit - Analytics (Data science)- Ass...,"Bengaluru, Karnataka","Partner with US colleagues to develop actionable recommendations supported by data and research.
Leverage CRE industry, and capital markets research & data to…",NA
newData Quality and Governance Analyst,"Bengaluru, Karnataka",Independently develops data cleansing and mastering algorithms and researches on company data to support Master Data Management and other enterprise level…,NA
Data Scientist,"Pune, Maharashtra","Internships/Project in core data science/analytics experience.
Use statistical methods to analyze data and generate useful business reports.",NA
Data Engineer |,"Hybrid remote in Gurgaon, Haryana+1 location","Act as an expert data resource within the team.
The Delivery Engineering Platform team is a core component to consulting services, managing the data acquisition…",NA
newMachine Learning Engineer,Remote,"Able to understand various data structures and common methods in data transformation.
Experience working with Python, Scala, Spark or other open-source software…",NA
"newProject Manager – Digitization, Food Fortification - SYS-870","New Delhi, Delhi",Supporting a thorough landscaping of the data and stakeholders involved along the fortification value chain in India including providing updated lists on…,"₹10,92,444 - ₹12,49,668 a year"
Manager- Data Science,"Pune, Maharashtra","3+ years core data science/analytics experience.
Use statistical methods to analyze data and generate useful business reports.",NA
Data Scientist,"Pune, Maharashtra","Work with a team of high-performing data science professionals, product managers, engineers & designers to identify analytics opportunities to solve business…",NA
newData Analyst or Scientist,Temporarily Remote,"Prior experience in applied data science research or big data analytics, or a combination of equivalent education and experience.",NA
Python Machine Learning/AI Engineer,"Delhi, Delhi","Study and transform data science prototypes.
Understanding of data structures, data modeling and software architecture.
Ability to write robust code in Python.",NA
QA Testing Lead,"Delhi, Delhi"," Prepare test cases, test scripts and test data.
 A bachelor's degree in computer science, engineering, or related field.
 Prepare / review test plans.","₹6,00,000 - ₹8,00,000 a year"
newData Analytics Developer (Junior),"Mumbai, Maharashtra","Bachelor's degree in computer science or IT;
Create ad hoc data sets to support specific research projects;
Integrate and automate our BI toolsets into multiple…",NA
Data Engineer – ED&A,"Bengaluru, Karnataka","Anticipate, identify and solve issues concerning data management to improve data quality.
Support the implementation of new data management projects and re…",NA
Data Analyst,"Bengaluru, Karnataka","Able to understand various data structures and common methods in data transformation.
Must be able to clearly understand and articulate a data science problem…",NA
Hiring Data Scientist,"Hyderabad, Telangana","2+ Exp in Data Science.
Strong exp in python, machine learning and sql.
KeyPoint Technologies is a leader in innovative language technology offerings for mobile…",NA
Data Science AI ML NLP Consultant,"Delhi, Delhi","Do you have experience in extracting data from a variety of data sources?
Do you have proven expertise in analyzing & visualizing data?",NA
Associate Data Engineer For Pune,"Remote in Hinjewadi, Pune, Maharashtra","Technical expertise with data models, data mining, and segmentation techniques.
Build the infrastructure required for optimal extraction, transformation, and…","₹3,00,000 - ₹7,00,000 a year"
Data Scientist (Chat BOT specialist),"Hyderabad, Telangana","Ensure that necessary data is captured; analytic needs are well-defined up front and coordinate the analytic needs.
Provide an accurate plan to deliver tasks.",NA
Data Scientist,"Bengaluru, Karnataka","Ability to data wrangling techniques.
2+ years of experience working in a ML or data scientist role.
Evidence of using of relevant statistical measures such as…",NA
Program Manager 2,"Noida, Uttar Pradesh+2 locations","Strong candidates should have a Computer Science or related degree, plus 14+ years direct involvement designing and delivering enterprise-class solutions, as…",NA
newData Science Analyst,"Bengaluru, Karnataka","Gathers data, analyses and reports findings.
Conducts analyses to solve relatively standardized or repetitive information and data queries/problems.",NA
Data Scientist,"Bengaluru, Karnataka","Acquire, cleanse, organize and mine massive volumes of data (sensor/system log) using custom scripts Learn, understand and apply customer data in statistical…","₹5,26,846 - ₹17,85,107 a year"
Data Science Researcher,"Bengaluru, Karnataka","Evaluate data science methods and procedures used to ensure applicability, efficiency, accuracy, and validity of analyses.",NA
Data Scientist,"Delhi, Delhi","Job Requirements: · Have 2+ years in a data science role with models running on scalable data platforms.
Mine and analyze data from various healthcare data,…","₹22,00,000 a year"
newAnalyst-Data Science,"Gurgaon, Haryana+2 locations","This is a Programmer Analyst role within Finance Data Sciences & Analytics - With a focus on data science and analytics, the FDS&A team creates enterprise,…",NA
newIndia Market Unit - Data Science Analyst - 11,"New Delhi, Delhi+1 location","Should understand analytics concepts such as big data, data lake, predictive analytics, embedded analytics, machine learning and conversations AI.",NA
newProduct Engineer - Geospatial Data Science,"New Delhi, Delhi","Proven data science and AI skills with Python and Jupyter Notebook.
Bachelor's or master's in GIS, geography, engineering, computer science, math, or related…",NA
newACN - Applied Intelligence - CC - Data Science (IN) - 07,"Gurgaon, Haryana","Act as a Data Scientist for data handling, extraction, manipulation; creating structured form of data and pulling tangible insights from data.",NA
newData Science Engineer,"New Delhi, Delhi","Study and transform data science prototypes.
Understanding of data structures, data modeling and software architecture.",NA
newFaculty – Data Science,Remote,"3+ years of experience in data science and machine learning.
Data science: 3 years (Required).
O Azure Machine Learning knowledge especially with data and ML…","₹1,100 - ₹2,000 an hour"
Data Science Engineer,"Noida, Uttar Pradesh","Expert with Hadoop/ Big data environments to synthesize and analyze data.
Working knowledge of data warehousing infra like Hive / Presto.",NA
newDATA SCIENTIST,+2 locationsRemote,"3+ years of experience in data science and machine learning.
Azure Machine Learning knowledge especially with data and ML stack is a plus.",NA
Data Analyst,"New Delhi, Delhi","Acquiring data from primary or secondary data sources and maintaining databases.
Filter, clean, process and validate data, and ensure the quality of data.","₹25,000 a month"
Data Scientist,"Gurgaon, Haryana+2 locations","We're looking for someone with a solid foundations in data analysis, applied commercial data science and engineering practices such as code construction,…",NA
Data Analyst - Python/Artificial Intelligence,"Noida, Uttar Pradesh","Experience in handling various data types and structures: structured and unstructured data, extensive prior experience in integrating data, profiling,…","₹10,000 - ₹15,000 a month"
Data Science- Internship (Remote),"Remote in Gurgaon, Haryana","*Who are we?* FullStack Education in a fast growing e-learning company that INSAID(International School of AI & Data Science| www.insaid.co), a fast growing…","₹15,000 a month"
Data Scientist,"New Delhi, Delhi",Type: Full Time(Regular) Qualification: B.E in Computer Science Skill set: 1. Proficient with Python/R. 2. Strong communication and presentation skills. 3.…,NA
newAnalyst - Data Scientist,"Gurgaon, Haryana","United's Digital Technology team designs, develops and maintains massively scaling technology solutions brought to life with innovative architectures, data…",NA
Data Scientist,"New Delhi, Delhi",Data Scientist Job Description *Responsibilities for Data Scientist: * 1. Work with stakeholders throughout the…,"₹4,00,000 - ₹10,00,000 a year"
newResearch Science Analyst - GPM - Panorama Financial Institut...,"Gurgaon, Haryana","Who You'll Work With You will work as a part of an international Global Payments Map (GPM) solution team (other team members located currently in Atlanta,…",NA
newData Science Analyst Intern,"Remote in Pune, Maharashtra","Skills : Python, R, Tablue, SQL Selected intern's day-to-day responsibilities include: Use statistical methods to analyze data and generate useful business…",NA
Freelance Data Analytics,"Noida, Uttar Pradesh","*Analyst *- Power BI/SQL/SAS/Tableau *Role & Responsibilities Overview: * * Work in SQL,SAS, Tableau, Data Mining, Data Warehousing, Data Filter and either…","₹15,000 - ₹18,000 a month"
Data Science Associate,"Temporarily Remote in Bengaluru, Karnataka",We have Openings with our Client in Bangalore Position Name : Data Science Associate Job Location- Bangalore/Remote Experience - 2 to 4yrs Must have…,"₹6,00,000 - ₹12,00,000 a year"
newManager-Data Science,"Gurgaon, Haryana","You Lead the Way. We’ve Got Your Back. At American Express, we know that with the right backing, people and businesses have the power to progress in…",NA
USI Consulting - S&A - HS&I - Converge Consumer - Data Scien...,"Bengaluru, Karnataka","Position Summary Job Title: Converge Consumer - Data Science - Data Scientist Data Scientist, InSight IQ, ConvergeCONSUMER, Deloitte Consulting…",NA
Data Science,"Gurgaon, Haryana","Company Overview Incedo is a US-based consulting, data science and technology services firm with over 2,500 people helping clients from our six offices across…",NA
Data Science Analytics,"Jaipur, Rajasthan",· Strong Programming skills with proficiency in SAS or Python. · Experience in EG /SAS BI would be an added advantage · Able to analyze moderately complex…,"₹6,00,000 a year"
newData & Analytics Analyst,"Gurgaon, Haryana","Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to…",NA
Data Science specialist,"Mohali, Punjab","Skills Required -Python, Machine Learning, Micro services, Geo spatial Analytics, and AWS services (Fargate). -Experience 4 years plus Benefits - Permanent…","₹60,000 - ₹85,000 a month"
newACN - Applied Intelligence - CC - Data Science (IN) - 07,"Gurgaon, Haryana","About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience…",NA
"newAdvisor, Data Science",+1 locationRemote,"The Data Engineer will support our data architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is…",NA
Power BI Developer- Data visualisation in Goa/Bangalore,"Verna, Goa",4.Performing Industry research & correlating data of various business segments to effectively communicate the trends and patterns using relevant data.,"₹5,00,000 - ₹15,00,000 a year"
newData & Analytics Analyst,"Gurgaon, Haryana","Knowledge of data engineering, data science and decisioning disciplines.
Sharing relevant updates with key stakeholders bringing together advanced analytics,…",NA
Data Scientist,"Hybrid remote in Gurgaon, Haryana+1 location","Experience in data management, data mining, data analytics, data reporting, data product development and quantitative analysis.",NA
Data Science Specialist,Temporarily Remote,"Variety of data sources using SQL, Azure and AWS ‘big data’ technologies.
Create data tools for analytics and data scientist team members that assist them in…","₹20,00,000 - ₹22,00,000 a year"
Data Analyst,"Gurgaon, Uttar Pradesh","Ownership of E2E data analysis pipeline i.e. data extraction, data cleansing, data manipulation, building final story for the business with analysis and…","₹10,00,000 a year"
Data Analytics,"New Delhi, Delhi","Educational Qualification*: Master's Degree in Eco / Stat / Math / Computer Science, MBA from a reputed institute.
Should have working knowledge of Python.","₹8,50,000 a year"
DATA SCIENTIST,"Remote in Bengaluru, Karnataka","The candidate should understand data science methods, and visualization techniques to leverage internal and external data to identify and develop ways to…","₹5,19,073 - ₹10,00,000 a year"
Data Science - Python Developer,"Pune, Maharashtra","Machine Learning skills: Skills to develop computer programs that can access data and use it learn for themselves.
Microsoft Excel: advanced Excel skills.",NA
newData Analyst or Scientist,Temporarily Remote,"Prior experience in applied data science research or big data analytics, or a combination of equivalent education and experience.",NA
Data Science Trainer,"New Delhi, Delhi","Proficiency in Python, TensorFlow, Keras, TensorRT, Pytorch, Numpy, Matplotlib, OpenCV, NLP.
Graduate / Master in Computer Science, Engineering.","₹40,000 - ₹75,000 a month"
Freelance Data Analytics,"Noida, Uttar Pradesh","Experience in data extraction and data manipulation including Importing.
Research, analyze, and present data as assigned.
Analyst *- Power BI/SQL/SAS/Tableau.","₹15,000 - ₹18,000 a month"
Junior Data Scientist,"Bengaluru, Karnataka","This role is to support the students who are working on the course assignments and project as the part of ExcelR training.
Evaluate Assignments of the Students.","₹1,80,000 - ₹3,00,000 a year"
newAssociate Consultant,"New Delhi, Delhi+1 location","Provides high quality, timely development and on-time input to solutions for service delivery, managed services, or implementation oriented client projects.",NA
Junior Data science Developer,"Remote in Kolkata, West Bengal","It combines traditional big data and machine learning technologies to solve different classes of data and analytical problems.
Sound knowledge in File handling.","₹2,80,000 - ₹3,50,000 a year"
Assistant Manager - Data Science,"Noida, Uttar Pradesh+1 location","Should be able to Handle large data sets, Compute and Calculate Sales Incentives with multiple slice and dice of the Sales data.",NA
newData Analyst - Operations-2,"Noida, Uttar Pradesh","Assessing the quality of data provided and removing data sources that do not pass rigorous data quality checks.
Working Knowledge of Microsoft Office programs.",NA
Data Analyst,"Noida, Uttar Pradesh","Acquire data from primary or secondary data sources and maintain data set/data system.
Develop and implement data collection systems, data analytics and other…",NA
Data Science Intern - SMAI,"Hyderabad, Telangana","You will be in a diverse and innovative working environment and interact with experienced Data Scientists, Data Engineers, Business Areas Engineers, and UX…",NA
Data Scientist,"Noida, Uttar Pradesh","Familiarity with or a drive to learn common data science and machine learning libraries is a plus.
Interest in general computer science.",NA
Data Science (R&D),"Remote in Bengaluru, Karnataka","2-4 years of experience in commercial software development & data science for medium to large scale deployments.
O Strong knowledge in Data Structures.",NA
"Data Science Associate Consultant (New Delhi, India)","Gurgaon, Haryana","Execute statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large data sets to identify trends,…",NA
newData Analyst,"Gurgaon, Haryana",2-5 years of practical data science or data engineering experience with a current knowledge of the Energy sector preferred.,NA
Data Scientist,"Delhi, Delhi","Job Requirements: · Have 2+ years in a data science role with models running on scalable data platforms.
Mine and analyze data from various healthcare data,…","₹22,00,000 a year"
newData Engineering Manager,"Gurgaon, Haryana","As a flexible Data Engineering Manager, you will support software developers, database architects, data analysts and data scientists on data initiatives and…",NA
newData Science / Machine Learning Trainer,"Noida, Uttar Pradesh","We are looking for Data Science / Machine LearningTrainer with at least 1+ year of teaching experience.
Taking Data Science batches in Online and Offline mode.","₹2,40,000 a year"
"Analyst / Senior Analyst– Risk & Information Management, Dat...","Gurgaon, Haryana","0-6 years’ experience in analytics, big data workstreams.
Analyze large amounts of data to derive business insights and create innovative solutions.",NA
Data Scientist,"Remote in Delhi, Delhi","Perform exploratory data analyses/data science techniques.
Communicate statistical analysis and interpretation of data.
Knowhow in object-oriented programming.","₹10,00,000 - ₹17,28,820 a year"
newManager - Prospecting Data Science Capabilities (Python/Mach...,"Gurgaon, Haryana","Experience in deploying and handling data products and solutions across a variety of platforms and technologies such as Big Data, PySpark, Hive, Scala, Python.",NA
Data Visualization Analyst,"Gurgaon, Haryana+2 locations","Delivering the data in a useful and appealing way to users.
Transforming, improving and integrating data, depending on the business requirements.",NA
newData Manager,Remote,"Generate sample data from live study data.
Process at least one routine data run per assigned study per quarter and perform all sample, complete and final data…",NA
newData Analyst,"New Delhi, Delhi","Build scalable data products, self-service tools, data cubes to analyze and present data associated with acquisition, retention, product performance, operations…",NA
Data Scientist,"Remote in Delhi, Delhi","Perform exploratory data analyses/data science techniques.
Communicate statistical analysis and interpretation of data.
Knowhow in object-oriented programming.","₹10,00,000 - ₹17,28,820 a year"
newData Analyst,"Chandigarh, Chandigarh","Providing technical expertise in data storage structures, data mining, and data cleansing.
Commissioning and decommissioning of data sets.","₹70,000 - ₹1,00,000 a month"
newSoftware Developer ( Python - RESTful APIs services ),"Noida, Uttar Pradesh","Accommodating various data storage solutions.
Writing effective and scalable Python codes.
Debugging applications to ensure low latency and high availability.","₹6,00,000 a year"
newData Scientist,"Delhi, Delhi","Use Big Data technologies (such as Hadoop, Spark, Storm) to build large scale data mining pipelines for recommendation and search.",NA
"newProject Manager – Digitization, Food Fortification - SYS-870","New Delhi, Delhi",Supporting a thorough landscaping of the data and stakeholders involved along the fortification value chain in India including providing updated lists on…,"₹10,92,444 - ₹12,49,668 a year"
Data Science - Consultant,"Remote in Bengaluru, Karnataka","Big data hadoop: 1 year (Required).
Immediate to 20 days joining duration*.
Experience: * 4-7 years of experience in a computer vision role.","₹12,00,000 - ₹20,00,000 a year"
Data Analyst (Business line) for our client in Goa/Bangalore,"Verna, Goa",4.Performing Industry research & correlating data of various business segments to effectively communicate the trends and patterns using relevant data.,"₹5,00,000 - ₹15,00,000 a year"
newData Scientist,"Mumbai, Maharashtra","Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",NA
newData Science - BI Developer,Temporarily Remote,"7+ years of experience in data science and analytics.
Collaborate with data scientists, data engineers, analysts and leadership.",NA
newManager-Data Science,"Gurgaon, Haryana","The team works very closely with Strategy partners, data science and technology teams to develop, implement, monitor, and manage risk models.",NA
newData Scientist,"Bengaluru, Karnataka+1 location","Primary skills : - Data science ( ML ), NLP ,computer vision and SQL.
Ability to read and implement research papers and propose solutions and strategies to…","₹10,00,000 - ₹25,00,000 a year"
Data Scientist,"Gurgaon, Haryana","Coordinating with the development team for the deployment of data science solutions.
Minimum 1 year of experience with data science, machine learning, and…",NA
Data Science Interns /Python,"Nagpur, Maharashtra","Experiance :0 to 6 month years of experience.
The internship is offered in Core Python ,Data Science nbsp Machine Learning .",NA
newData Scientist,"Bengaluru, Karnataka+1 location","Primary skills : - Data science ( ML ), NLP ,computer vision and SQL.
Ability to read and implement research papers and propose solutions and strategies to…","₹10,00,000 - ₹25,00,000 a year"
Data Scientist,"Gurgaon, Haryana","Coordinating with the development team for the deployment of data science solutions.
Minimum 1 year of experience with data science, machine learning, and…",NA
